question,type,option1,option2,option3,option4,answer,image,compare,added_at
,mcq_img,А,Б,В,Г,А,nvo10bel1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo10bel2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo10bel3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo10bel4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo10bel5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo10bel6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10bel7.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo10bel8.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo10bel9.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo10bel10.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo10bel11.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10bel12.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo10bel13.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10bel14.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo10bel15.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10bel16.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10bel17.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo10bel18.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo10bel19.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo10bel20.png,exact,2026-03-17T17:27:41
