question,type,option1,option2,option3,option4,answer,image,compare,added_at
,mcq_img,А,Б,В,Г,Б,nvo7math1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math7.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math8.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math9.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math10.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math11.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math12.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math13.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math14.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math15.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math16.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math17.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math18.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math19.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math20.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math21.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math22.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math23.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math24.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math25.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math26.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math27.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math28.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math29.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math30.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math31.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math32.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math33.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math34.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math35.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math36.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math37.png,exact,2026-03-17T17:27:41
,mcq_img,,,,,,nvo7math38.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math39.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math40.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math41.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math42.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math43.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math44.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math45.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math46.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math47.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math48.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math49.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math50.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math51.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math52.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math53.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math54.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math55.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math56.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math57.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math58.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math59.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math60.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math61.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math62.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math63.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math64.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math65.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math66.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math67.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math68.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math69.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math70.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math71.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math72.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math73.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math74.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math75.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math76.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math77.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math78.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math79.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math80.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7math81.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math82.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math83.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7math84.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7math85.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7math86.png,exact,2026-03-17T17:27:41
