question,type,option1,option2,option3,option4,answer,image,compare,added_at
,mcq_img,А,Б,В,,Б,nvo4bel1-1.jpg,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel1-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel1-3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel1-4.png,exact,2026-03-17T17:27:41
,free_img,,,,,трудолюбива,nvo4bel1-5.png,exact,2026-03-17T17:27:41
,free_img,,,,,труд,nvo4bel1-6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel2-1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel2-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4bel2-3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel2-4.png,exact,2026-03-17T17:27:41
,free_img,,,,,ценен,nvo4bel2-5.png,exact,2026-03-17T17:27:41
,free_img,,,,,спокойствие,nvo4bel2-6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel3-1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel3-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4bel3-3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,В,nvo4bel3-4.png,exact,2026-03-17T17:27:41
,free_img,,,,,радост,nvo4bel3-5.png,exact,2026-03-17T17:27:41
,free_img,,,,,радостно,nvo4bel3-6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4bel4-1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel4-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4bel4-3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel4-4.png,exact,2026-03-17T17:27:41
,free_img,,,,,уверено,nvo4bel4-5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,В,nvo4bel5-1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4bel5-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel5-3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel5-4.png,exact,2026-03-17T17:27:41
,free_img,,,,,учтиво,nvo4bel5-5.png,exact,2026-03-17T17:27:41
,free_img,,,,,отговорност,nvo4bel5-6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel6-1.png,exact,2026-03-17T17:27:41
,free_img,,,,,умна,nvo4bel6-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel6-3.png,exact,2026-03-17T17:27:41
,free_img,,,,,хитра,nvo4bel6-4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4bel6-5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel6-6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel7-1.png,exact,2026-03-17T17:27:41
,free_img,,,,,различно,nvo4bel7-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel7-3.png,exact,2026-03-17T17:27:41
,free_img,,,,,грозно,nvo4bel7-4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel7-5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4bel7-6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel8-1.png,exact,2026-03-17T17:27:41
,free_img,,,,,случки,nvo4bel8-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel8-3.png,exact,2026-03-17T17:27:41
,free_img,,,,,история,nvo4bel8-4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel8-5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel8-6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel9-1.png,exact,2026-03-17T17:27:41
,free_img,,,,,ужасна,nvo4bel9-2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel9-3.png,exact,2026-03-17T17:27:41
,free_img,,,,,Високо,nvo4bel9-4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel9-5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4bel9-6.png,exact,2026-03-17T17:27:41
