question,type,option1,option2,option3,option4,answer,image,compare,added_at
,mcq_img,А,Б,В,,В,nvo4math1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4math2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4math4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,В,nvo4math5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,В,nvo4math6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math7.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math8.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4math9.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math10.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4math11.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math12.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math13.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,В,nvo4math14.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math15.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4math16.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,В,nvo4math17.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math18.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math19.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,В,nvo4math20.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4math21.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,А,nvo4math22.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4math23.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,,Б,nvo4math24.png,exact,2026-03-17T17:27:41
